"run_id","block","engine","language","corpus","k","iters","threads","rep","fit_sec","wall_sec","max_rss_kb","r2","coherence_mean","coherence_median","coherence_sd","version"
"gensim__ap__k50__i10__t1__r1","k","gensim","Python","ap",50,10,1,1,13.733515034,15.62,168820,0.12703309448,0.13248815333,0.10739238642,0.084363628371,"4.4.0"
"gensim__ap__k100__i1__t1__r1","frontier","gensim","Python","ap",100,1,1,1,2.2627890361,4.69,180348,0.082188860382,0.089429305876,0.073732385335,0.069793247792,"4.4.0"
"gensim__ap__k100__i1__t1__r2","frontier","gensim","Python","ap",100,1,1,2,2.3533599069,4.96,181028,0.080205721351,0.094444205304,0.078349975299,0.078972295671,"4.4.0"
"gensim__ap__k100__i1__t1__r3","frontier","gensim","Python","ap",100,1,1,3,2.302051974,4.8,180328,0.077125292855,0.097631141287,0.079562729168,0.085847149227,"4.4.0"
"gensim__ap__k100__i2__t1__r1","frontier","gensim","Python","ap",100,2,1,1,4.0847673179,6.42,183836,0.11341446677,0.098262756504,0.079201183333,0.085652085582,"4.4.0"
"gensim__ap__k100__i2__t1__r2","frontier","gensim","Python","ap",100,2,1,2,4.2776913797,6.67,184320,0.11142185806,0.099173801427,0.072892880354,0.081757891498,"4.4.0"
"gensim__ap__k100__i2__t1__r3","frontier","gensim","Python","ap",100,2,1,3,4.1070555942,6.43,186660,0.10558946864,0.11189623473,0.095547138884,0.082929296497,"4.4.0"
"gensim__ap__k100__i5__t1__r1","frontier","gensim","Python","ap",100,5,1,1,9.3056487199,11.55,188048,0.14101112811,0.10409787061,0.079262210822,0.083880337193,"4.4.0"
"gensim__ap__k100__i5__t1__r2","frontier","gensim","Python","ap",100,5,1,2,9.305577402,11.55,186720,0.14170257314,0.11993734198,0.088923870238,0.098278355828,"4.4.0"
"gensim__ap__k100__i5__t1__r3","frontier","gensim","Python","ap",100,5,1,3,9.0787505843,11.25,187052,0.12971486702,0.1120726221,0.080366943376,0.087040183605,"4.4.0"
"gensim__ap__k100__i10__t1__r1","frontier","gensim","Python","ap",100,10,1,1,17.0473526949,19.17,188312,0.14979806049,0.10480982278,0.076868879832,0.084925199463,"4.4.0"
"gensim__ap__k100__i10__t1__r2","frontier","gensim","Python","ap",100,10,1,2,16.9780388381,19.08,188168,0.15254356727,0.11679129546,0.089820102351,0.091427283542,"4.4.0"
"gensim__ap__k100__i10__t1__r3","frontier","gensim","Python","ap",100,10,1,3,16.9719205708,19.14,189204,0.13787932774,0.11920274543,0.093575063989,0.083852401487,"4.4.0"
"gensim__ap__k100__i10__t2__r1","threads","gensim","Python","ap",100,10,2,1,28.7381250779,30.85,358096,0.14989692665,0.10967579513,0.082055785358,0.093851726605,"4.4.0"
"gensim__ap__k100__i10__t2__r2","threads","gensim","Python","ap",100,10,2,2,29.1761776372,31.31,357828,0.14644443895,0.10928924156,0.081066440572,0.10645540542,"4.4.0"
"gensim__ap__k100__i10__t2__r3","threads","gensim","Python","ap",100,10,2,3,29.6769147189,31.89,357932,0.14180574471,0.10559440836,0.070970072921,0.090243645615,"4.4.0"
"gensim__ap__k100__i10__t4__r1","threads","gensim","Python","ap",100,10,4,1,29.0029045171,31.12,358308,0.14983717967,0.11115829551,0.082784097928,0.093635083601,"4.4.0"
"gensim__ap__k100__i10__t4__r2","threads","gensim","Python","ap",100,10,4,2,29.5825808318,31.71,361464,0.14650250513,0.10898325085,0.080120432019,0.10691835596,"4.4.0"
"gensim__ap__k100__i10__t4__r3","threads","gensim","Python","ap",100,10,4,3,29.6682724808,31.8,357532,0.14179739438,0.10482730492,0.074591862758,0.089369428928,"4.4.0"
"gensim__ap__k100__i10__t8__r1","threads","gensim","Python","ap",100,10,8,1,29.184052214,31.35,361796,0.14982327452,0.10991228346,0.081769549977,0.093193631205,"4.4.0"
"gensim__ap__k100__i10__t8__r2","threads","gensim","Python","ap",100,10,8,2,29.3075850923,31.47,357760,0.14648650409,0.10976898309,0.080120432019,0.10691261053,"4.4.0"
